id;produkt;kcal;bialko;weglowodany;tluszcze
233;Margaryna extra z maslem - Delma;350;0.5;1.5;39
234;Poledwica lososiowa - Biedronka;102;21;0.8;1.6
235;Kurczak (udo bez skory i kosci);125;17.8;0;6
236;Kasza gryczana;355;12.6;69.3;3.1
237;Mieso mielone drobiowe (kurczak. indyk);143;19;0;7.5
238;Serek wiejski - Piatnica;97;11;2;5
239;Chleb orkiszowy bez polepszaczy i konserwantow - SPPIC Krakow;195;6.1;40.6;0.9
240;Salata rzymska;17;1.2;3.3;0.3
241;Kurczak (piers duszona);151;29;0;3
242;Kasza kuskus;342;13.3;67.9;1.7
243;Ogorki kiszone;11;0.3;2.3;0.2
244;Czekolada gorzka (70- 85% zawartosci kakao);598;7.8;45.9;42.6
245;Kasza jeczmienna (ugotowana);123;2.3;28.2;0.4
246;Jajko sadzone;196;13.6;0.8;14.8
247;Tortilla pelnoziarnista;292;8.9;46.6;9
248;Ciecierzyca surowa;378;20.5;63;6
249;Ser zolty Edam Rycki;355;26;2;27
250;Rosol z kury z makaronem;148;17;11;4
251;Mleko bez laktozy 1.5%;44;3;4.7;1.5
252;Danone Activia Naturalna do picia;37;3.3;3.9;0.9
253;Fasola czerwona (konserwa);99;5.6;16;0.4
254;Mleko 0% tluszczu;34;3.4;5;0.1
255;Tymianek swiezy;101;1.7;24;5.6
256;sliwka (swiezy owoc);49;0.6;11.7;0.3
257;Jajo kurze (bialko);52;10.9;0.7;0.2
258;Chleb razowy ze slonecznikiem - Biedronka;257;6.4;43.4;5.6
259;Maka kukurydziana;365;9.3;76.3;3.9
260;Orzechy pistacjowe;606;20.3;25;48.5
261;Gozdziki;323;6;30;20.1
262;Sok pomaranczowy;47;0.7;11;0.2
263;Chleb wieloziarnisty;215;9.5;35;4.1
264;Makaron pelnoziarnisty (nieugotowany);343;12;65;2.1
265;Olej slonecznikowy kujawski;900;0;0;100
266;Wodka;231;0;0;0
267;Kasza gryczana prazona;355;12.4;66.4;3.2
