id;produkt;kcal;bialko;weglowodany;tluszcze
5250;Pstrag w galarecie - MARINERO;64;7.7;1.2;3
5251;Pudding Smakija Waniliowa;132;2.4;12.7;7.6
5252;Marwit Zupa krem z kalafiora;29;1;5;0
5253;Koncentrat pomidorowy 30% - lowicz;97;5.6;13.9;1.5
5254;Migdaly - Tessco;572;20;20.5;52
5255;Oliwki zielone drylowane - Figaro;150;0.9;0;15
5256;Kotlet mielony z grilla;202;14;2;15
5257;Chleb low - Pro Body;262;24;9.4;14
5258;Sierpc Capri Serek typu wloskiego 220 g;190;12;3.6;14
5259;Bulka zytnia razowa dodek;239;5.9;48.3;2.5
5260;Mieso mielone z piersi kurczaka;108;23;0.3;1.7
5261;Deser Satino Panna Cotta - Bakoma;157;3;17;8.6
5262;Twarozek Delikatesowy - President;89;8.9;4.3;4
5263;chleb z ziarnami SPC (pszenno-zytni);263;8.8;42;6
5264;Ser kozi plesniowy;300;19;0;25
5265;sledz po gdansku w oleju;446;13.5;0;43.5
5266;Filety sledziowe wloskie w oleju z suszonymi pomidorami;358;10;3;34
5267;Serek Danio Intenso Straciatella;132;5.6;15.6;5.3
5268;Chleb Delight wysokoblonnikowy z otrebami - Benus;165;5.3;32.5;1.5
5269;Deser czekoladowy z bita smietana - smietankowy Raj;163;3.2;18.2;8.6
5270;Pieczywo chrupkie lekkie Fitness Style 3 ziarna - Schulstad;364;11.1;72;1.7
5271;Wisnie w syropie;127;0.6;29;0.3
5272;Sok Karotka Jablko Marchew;42;0.5;8.8;0.1
5273;Cukierki Halls;390;0;97;0
5274;Surowka kresowa z papryka i porem - Multi-Smak;99;1.5;10.7;5.2
5275;Tluszcz z kaczki (smalec);882;0;0;99.8
5276;Strucla serowa;252;9.3;32.7;9.4
5277;Ser Camembert z mleka koziego;283;18;0.5;23
5278;Kazeina;387;77;8;5
5279;Serek homogenizowany naturalny - Rolmlecz;114;8.2;4.5;7
5280;Chleb - Schulstad;236;7.3;29.1;7.9
5281;Wino Sangria;173;0.3;22.6;0.1
5282;Baton Big 3 Bit;525;6.5;61;28
5283;Pieczywo chrupkie zytnie - Pano;306;9;64;1.6
5284;Chleb ciemny z nasionami Hovis;256;13.3;46.4;2.4
5285;Platki owsiane z mlekiem. jablkiem i cynamonem - Nesvita;394;11.8;68;6.9
5286;Ser salatkowy Favita poltlusta - Mlekovita;190;13;7.5;12
5287;Tarta z warzywami;119;12;5;7
5288;Prazynki serowe;600;2;50;44
5289;Orzeszki Beskidzkie w karmelu - Aksam;569;22;30;39
5290;Jogurt naturalny 1% nom;50;4.9;4.7;1
5291;BCAA ZERO BioTechUSA;331;78;0;0
5292;Wafle;390;8;81;3.2
5293;Przecier pomidorowy Passata - lowicz;26;1;5;0
5294;Lody Sorbet z Truskawek - Grycan;110;0.4;26.3;0.1
5295;Kabanos wegierski;456;30;2;36
5296;Jogurt Granola grecki-truskawki-borowki-musli tropikalne;125;3.7;17;4.7
5297;Sardynki w sosie pomidorowym tesco;106;18.8;1.6;2.6
5298;Salatka sledziowa - Salato;235;4;10;20
5299;Flaki wolowe w rosole - Biedronka;44;6;1;2
5300;Winiary Sos curry 300 ml;539;0.9;8.2;55.8
5301;Sok Tloczony z jablek;32;0;8;0
5302;Dzem 100% z owocow Pomarancza;143;0.5;35;0.5
5303;Maslo orzechowe kremowe 94% - Lidl;629;24.3;14.4;51.2
5304;Chrzan ostry ze smietanka - Biedronka (Madero);219;2;16;16
5305;Soczewica konserwa;88;6.8;12;0.5
5306;Salatka Cezar z grillowanym kurczakiem - KFC;74;10;4;2
5307;Ciasteczka owsiano-gryczane;241;11;35;6
5308;Makaron penne (nieugotowany) - Lubella;351;13;70;1.4
5309;Ryba w ciescie;117;15.3;6.7;3.2
5310;bialko serwatkowe ostrovit;420;78;10.4;7.3
5311;Ser Emmentaler - Lidl;388;30.5;0.1;29.5
5312;Piwo Karmi Classic;50;0.2;11.4;0
5313;Pieczone warzywa;31;2;5;1
5314;Ciasto z jagodami i kruszonka;313;4.5;40.2;15.6
5315;pomidory suszone w oleju slonecznikowym;213;5;14;15.7
5316;Ser Feta salatkowy poltlusty Gretikos - Lidl;176;10;3;14
5317;Zupa kalafiorowa (mrozonka) - Hortex;35;2;5.1;0.2
5318;Szynka wedzona domowej roboty;253;17.1;0.9;20
5319;Majonez stolowy koronny;486;0.7;5.6;51
5320;Serek wiejski fiocchi di latte milk forte;96;10.9;3;4.5
5321;Majonez pomorski - Ocetix;611;1.3;3.5;65.8
5322;Gin;262;0;0;0
5323;Twarog wiejski - Strzalkowo;184;15;3.9;12
5324;woda kokosowa zwykla;32;0;7.4;0
5325;Sos musztardowy;76;4.2;9.5;2.4
5326;Seler konserwowy;30;0.9;4.6;0.2
5327;Jaglane platki blyskawiczne szczytno;356;11;65;4
5328;Burger wolowy z cebulka w bulce max;360;26.4;41.6;9.8
5329;Serek w plastrach na goraco - Hochland;268;17;5.1;20
5330;Wafle ryzowe - Lestello;381;8;79;2.9
5331;Mielonka w plastrach - Sokolow;200;11;4.1;15
5332;Creme Brulee;320;4.5;14;27
5333;Baton Fitness orzechowy z mleczna czekolada (Wapn) - Nestle;380;5.6;69;7.1
5334;Ciasto Baklava;428;6.7;37.6;29
5335;Jogurt 7 zboz musli truskawka poziomka - Bakoma;101;3.8;15.7;2.6
5336;Kasza jaglana preparowana;346;11;72;3
5337;Chleb zytni z amarantusem;182;4.2;37;1.4
5338;Lody Carte D'Or Creme Caramel;190;3;29;7
5339;Makaron Tortellini z miesem (nieugotowany) - Melissa;386;13.3;61.9;8.8
5340;Twarog Delikatny 0% z rzodkiewka - President;56;8.8;5.2;0.3
5341;Sos slodko - kwasny - Dawtona;70;0.7;16;0.5
5342;Soja gotowana;172;18.2;8.4;9
5343;Rumsztyk wolowy (mielony);121;23.6;0;2.9
5344;Pizza Carbonara - Biedronka;257;12;28;10.8
5345;Karp w galarecie;62;9;1.2;2
5346;Mleko 3.2 % - Tesco;60;3.2;4.7;3.2
5347;Majonez ketrzynski;620;1.8;3.6;66.5
5348;Pierogi z miesem (Jawo);269;11;27;12
5349;Maka pszenna tortowa typ 450 - Basia;340;10.2;71.3;1
5350;Halibut smazony;166;24.3;0;7.6
5351;Czekolada ze stewia;432;5.3;18.7;34.8
5352;Pomidory krojone w soku pomidorowym - Tesco;25;1.4;4;0.2
5353;Jogurt typu greckiego z truskawkami i bananem - Tolonis;122;3.1;14;6
5354;Baton mega Grzesiek;518;11;54;28
5355;Blonnik - Goody;371;13.3;62;2.9
5356;Tortilla pszenna - biedronka (pano);298;7;51;6.4
5357;Frytki proste Mr. Potato - Biedronka;132;2;22;3
5358;Serek Mascarpone - Lovilio;355;5.8;3;35.5
5359;Chleb razowy pszenny ze slonecznikiem;236;4.9;44;3.4
5360;Dietetyczne ciasto marchewkowe;185;9;19;8
5361;Platki blyskawiczne zytnie;323;8.2;62;1.6
5362;Napoj Smothie mrozony (60% truskawka. 35%banan. 5%jagoda);56;1;12;0
5363;Crumpet (okragle ciastko drozdzowe);178;7.1;35.8;0.7
5364;Bulka z musli;384;10.6;66.7;10
5365;Carpaccio z wolowiny;159;28;1.5;4.5
5366;Krolik (duszony);94;8.8;2.7;4.6
5367;Dzem jagodowy mniej cukru;123;1;32;0
5368;Odzywka bialkowa trec;316;72.2;5.7;0.8
5369;Fanta o smaku maliny i marakui;41;0;10;0
5370;Twarog chudy - Wielun;87;17.9;2.6;0.5
5371;Salami Gurman vege - Salve Natura;240;19.6;11.9;12.3
5372;Krokiety;237;6;33;9
5373;Jogurt Duet Jagoda-Wisnia - Jovi;67;1.7;13.3;0.8
5374;Lody - Diuna;161;2.7;23;6.2
5375;Olej z orzechow wloskich;826;0;0;93.5
5376;Zupa blyskawiczna Lau Thai - Vifon;84;1.6;10.3;4
5377;Dorsz parowany;80;18.3;0;0.7
5378;losos wedzony - Mido;159;18;1.2;9
5379;Pasta jajeczna - Lisner;431;7;2;44
5380;Pierogi z Miesem Trisan z Lidla;217;6.7;28.5;7.9
5381;Ser edamski - Kaufland;314;26;0.5;23
5382;Platki owsiane Fine - Kaufland;373;13;68;6.9
5383;Maca razowa Kupiec;367;10;74;1.6
5384;Cukierki orzechowe z orzeszkami w czekoladzie Magnackie - First Nice;545;8.9;54.9;32.2
5385;Ryz do sushi (ugotowany);148;2.8;35;0
5386;losos z grilla;274;20;0;19.8
5387;Makaron gryczany nitki - TOKYOTO (nieugotowany);348;14.8;68.3;1.3
5388;Jogurt grecki z brzoskwinia;78;7;14.4;0
5389;Slonecznik - 4xM;522;20.2;11;44.1
5390;Hamburger McMuffin Jajko i bekon - McDonald's;233;13;19;11
5391;Gulasz z piersi kurczaka w sosie pomidorowym;91;8.7;3.5;4.6
5392;Omlet biszkoptkowy;212;11.1;10.8;13.9
5393;Chleb zytni razowy owsiany;236;6.1;44;2.8
5394;Nalesniki z jablkami - Virtu;120;4.3;19;2.2
5395;Kisiel Gellwe Frugo;54;0.2;13;0
5396;Burger wolowy;348;25;42;8
5397;Trendy Lunch (orkisz.vermicelli.pomidory) - Melvit;333;14;58;3
5398;Chleb tostowy Castello pelnoziarnisty - Lidl;247;7.4;46;2.6
5399;Pasta;161;12;7;9
5400;Pomidory suszone w oleju - Helcom;453;3.3;6.4;45
5401;Chleb zytni razowy - Aldi;216;4.9;43;1.6
5402;Mieso z ud kurczaka bez skoy;100;13;0;6
5403;Rollo kebab drobiowy;153;8.6;17.4;5.5
5404;Salata wenecka mix - Tesco;22;1.4;2.9;0.2
5405;Jogurt Jogobella malina - Zott;103;3.5;15;3
5406;Salatka z makrela pikantna;134;8.4;7.1;7.4
5407;Sos bolognese domowy;64;8;3.5;2
5408;Orzechy nerkowca smazone i solone - Kraszki;624;16.8;30.2;47.8
5409;Gainerator - Olimp;378;20;70;2
5410;Pasta z makreli i sera bialego;153;13;3.1;9.8
5411;Jogurt Jogobella malina - Zott;100;3.5;14.8;2.6
5412;Woda niegazowana Active - Polaris;0;0;0;0
5413;Kielbasa sucha krakowska extra z fileta - Tarczynski;152;30;1.1;3.1
5414;Przecier pomidorowy - lowicz;97;5.6;13.9;1.5
5415;Ciastka z ziarnami slonecznika i sezamu Felicjana;561;12.1;50;33.7
5416;Ciasto Brownie z fasoli i banana;128;6.6;19.3;2.8
5417;Mleko migdalowe original z syropem z agawy - Ecomil;46;0.9;5.4;2.1
5418;Kawa z cykoria;3;0.1;0.8;0
5419;Chleb zytni pelnoziarnisty - Kolodziej;251;9.2;35.3;6.2
5420;Szynka tradycyjna;253;17.1;0.9;20.3
5421;Tortilla pszenna biedronka;298;7;51;6.4
5422;Wafle Krolewskie tortowe;386;11;74;5.1
5423;Salami paprykowe dojrzewajace plastry - Pikok;479;18;2.4;44
5424;Pieczywo chrupkie - Aldi;360;11;73;2.5
5425;Mleko 0.3% tluszczu;38;3.6;5.1;0.3
5426;Ser Mozzarella - Lovilio;245;17.6;1.6;19.2
5427;Frankfurterki wieprzowe wedzone;200;10.8;0.3;17.3
5428;Sok wielowarzywny - Dawtona;18;0.8;3.3;0
5429;Makaron jajeczny Tagliatelle (ugotowany);146;5.7;27.1;1.6
5430;Kapusta pak choi (surowa);13;1.5;2.2;0
5431;Koreczki sledziowe kaszubskie;261;14.8;1.9;21.6
5432;Jogurt Jogobella light malina - Zott;60;4;8.4;1.1
5433;Ciasteczka owsiane z zurawina;470;8.8;62.4;19.1
5434;Lody Carte D'or bakalia;230;4;31;10
5435;Ciastka Lu Go czekoladowe;440;7.6;64.7;16.8
5436;tarta cytrynowa z beza;384;5.7;43.8;20.4
5437;Paluszki rybne smazone;275;9.3;14.8;19.9
5438;Platki ryzowo-pszenne z bananem i czekolada (Just Fit);397;8;77.5;5.1
5439;Sernik na zimno z wisniami - Vitello;174;5.9;19.6;8
5440;Ser twarogowy z Mascarpone naturalny - Pilos;276;10;5;24
5441;Sok jablko mieta ogrodowa;35;0.1;8.4;0.1
5442;Wafelek orzechowy Alpino - Biedronka;496;5;44;34
5443;sok karotka + jablko marchew mango len FORTUNA;42;1;9;1
5444;Serek wiejski z miodem;139;9;17;4
5445;Ryba Nototenia - wedzona;93;21;0;1
5446;Serek homogenizowany waniliowy - OSM Garwolin;146;8;15;6
5447;So Food - Wege lunch z papryka i ryzem;164;10;21;3.9
5448;tonic;40;0;9;0
5449;Udko indycze (pieczone);208;27.9;0.1;9.8
5450;Jablka w kruchym ciescie;343;3.8;44.5;17.8
5451;Deser ryzowy jablkowy;136;2.7;24.2;3.2
5452;Kotlet (rozne);196;14.3;6.4;12.5
5453;Baton Amigos toffi;480;7.1;62.7;19.8
5454;Jogurt kremowy waniliowy;142;2.6;19.5;6
5455;Zupa Minestrone;33;1.8;4.7;1
5456;Nalewka wisniowa;309;0;33;0
5457;salatka pikantna z makreli;135;8.9;7.4;7.9
5458;Czekolada gorzka z nadzieniem wisniowym - Alpen Gold;510;4;58.5;27.5
5459;Coca-Cola McDonald 400ml;41;0;10;0
5460;Chleb bialy z ziarnami;242;10.4;38.1;3.8
5461;Jogurt typu greckiego z owocami. 2 x wiecej bialka. 0%tluszczu;76;7;12;0
5462;Pasztet drobiowy light;110;9;5;6.4
5463;Kurczak Strips KFC (3 sztuki);292;24;12;16
5464;Jogurt Day Up;61;2;12;1.5
5465;Baton Ba! 5 owoocow tropikalnych - Bakalland;412;4;70;13
5466;Foccacia (wloskie pieczywo z czarnymi oliwkami);250;9;36;8
5467;Zupa fasolowa - gesta;150;10;15;5
5468;Kasza kuskus - Lidl;357;13;72;0.6
5469;Kiszka pasztetowa drobiowa - Duda;259;9;3;23
5470;Serek wiejski cottage cheese - Milbona;98;12;3;4
5471;Maka kokosowa - Bio Planet;454;16;57;18
5472;kielbasa slaska z kurczaka KONSPOL;163;14.7;1.5;10.8
5473;Owsianka blyskawiczna (ugotowana) - Nestle;178;5;33;2.5
5474;Chili Con Carne (potrawa);96;10.8;8.7;2
5475;zolta pasta curry - Kanokwan;357;5.1;15.7;30.5
5476;Danie chinskie;146;12;23;2
5477;Kasza jeczmienna - Biedronka;326;11;65;0.6
5478;Salami w plastrach opakowanie 1kg - Biedronka;298;25;0;22
5479;Pieczywo chrupkie lekkie 7 ziaren - Sonko;367;8.6;76.8;1.5
5480;Ekologiczny sok z burakow kiszonych;37;0.5;6;0.2
5481;Kanapka pasztet / chleb z fasoli jas 500g. z jajkami (5szt) i drozdzami (21g);400;28;46.5;10
5482;Wafle pszenno-ryzowe - Kupiec;373;10.2;78.5;1.3
5483;Ciasto czekoladowe bez glutenu;402;4;46;23
5484;Czekolada Milk Almond - Lindt;593;7.9;50;39
5485;HORTEX zupa jesienno-zimowa;32;2.1;3.5;0.5
5486;smietana Juhayna 30%;292;2.4;3.2;30
5487;Kruche ciasto;409;7;52;19
5488;Pizza wegetarianska ze szparagami na cienkim ciescie;188;10;24;6
5489;"Fasola szparagowa ""Mamut"" zolta. zielona ";27;2;8;0
5490;Zupa Kurkowa z makaronem Goracy Kubek (po przyrzadzeniu) - Knorr;25;0.8;4.7;0.5
5491;Cytrynowka;230;0;0.1;0
5492;Jogurt naturalny augustowski - Mlekpol;63;4.3;5.8;2.5
5493;smietana 12 tesco;135;2.8;3.9;12
5494;Orzeszki arachidowe w ciescie o smaku serowym - Carrefour;522;14.3;48.7;28.8
5495;Owsianka jagoda i granat - Goody;354;11.1;64.9;5.8
5496;lajkonik krakersy;479;9;62;21
5497;Boczek parzony w plastrach;311;12;0.6;29
5498;Chleb Magnat zytni z ziarnami slonecznika - Putka;246;6;51;2
5499;Chicken Burger;283;13;21;16
5500;Sos pieczarkowy - Pudliszki;58;1.6;9.6;1.1
5501;Cukinia duszona z baklazanem i pomidorami;22;1;4;1
5502;Chleb samo ziarno;211;8.8;35.5;3.8
5503;Whey shock protein blend;393;71;9;8
5504;Surowka czarna rzepa marchewka jablko;33;1;10;0
5505;zupa rybna z lososia;105;6;10;4
5506;Salatka z tunczykiem - Vital Fresh;149;8.5;2.5;11
5507;Grzanki do zupy z pieczywa tostowego z ziarnami;265;9;46;5
5508;Dynia marynowana;75;0.9;18;0.3
5509;Ryz brazowy moj;119;3.4;22.8;1
5510;Mieszanka Mrozonka bukiet warzyw;37;2.8;3.9;0.5
5511;Musli Classic - Nestle;380;11.2;64.6;6.7
5512;Serek laciaty z cebula i szczypiorkiem - Piatnica;250;5.8;4.9;23
5513;Chleb ciemny - Aldi;222;6.5;45;1
5514;Sos pomidorowy z papryka i cebula;53;0.9;11.5;0.1
5515;Rolada z kurczaka z pieczarkami;86;12.8;0.4;3.5
5516;Kielbasa soltysa - Maciej Wrobel;284;15;2;24
5517;Gotowane udko z indyka;128;20.5;0;3.6
5518;Maslanka naturalna - Hej;48;3.4;5.1;1.5
5519;Ser Feta poltlusty kanapkowo-salatkowy - Tolonis;190;13;7.5;12
5520;Ketchup Extra Hot - Hellman's;110;1;25;0.5
5521;Mintaj panierowany kostka 100g - Frosta;200;13.6;18.4;7.9
5522;smietana kremowka 30%;287;2.2;3.1;30
5523;Wloszczyzna paski - Hortex (mrozonka);32;1.4;4.1;0.5
5524;Kielbasa slaska - Sokolow;240;17;0.5;19
5525;Kielbasa zywiecka - Sokolow;256;22;1;18
5526;Pasta z tofu;138;6.9;7.6;9.5
5527;Serek z twarogu Kiri;232;5.5;3;22
5528;Dzem niskoslodzony truskawka - Sympathica;143;1;35;1
5529;Serek Borowikowy Las - Turek;259;7.3;3.5;24
5530;Poledwica z indykiem - Sokolow;94;15;4;2
5531;Oliwa z wytloczonych oliwek - Sodoliva;821;0;0;91
5532;"Lody ""jak dawniej"" smietankowe z wisniami - Koral ";221;2.6;28;11
5533;Kielbasa Biala surowa (cienka) - Lidl;230;16;0.7;18
5534;Piernik serce lukrowany - Kopernik;352;7;77;1
5535;Owsianka Fitness z Chia - Melvit;354;10;56;7.1
5536;Paczek mini - Piekarnia pod telegrafem;410;3.1;59.5;18.3
5537;Suchary Bieszczadzkie SAN;390;8.4;75.5;4.9
5538;Sok jablkowy 100% - Cappy;45;0;35;0
5539;Filet sledziowy w sosie musztardowym;382;5;9;36
5540;Serek z ziolami - Ostrowia;243;5;4;23
5541;Zupa krem z pora i ziemniakow;71;1;8;4
5542;Whey Protein 95;351;73;8;3
5543;Boczek parzony - Tesco;256;16.1;0.6;21
5544;Odzywka bialkowa Whey C-6;108;24.9;1;0.5
5545;Baton Snikers Almond;230;3;32;11
5546;Chipsy z jarmuzu;45;4.3;8.8;1
5547;Dzem pomaranczowy Orange Jam Bitter;238;0.3;59;0.1
5548;Napoj Nestea brzoskwiniowy;19;0;4.5;0
5549;Sznycel wieprzowy;248;19.5;5.9;15
5550;Wafelki Pryncypalki - dr. Gerard;543;6;60;31
5551;Jogurt naturalny 0.5% - ICA;40;4.2;4.4;0.5
5552;Hamburger (samo mieso);208;18.1;0;15.1
5553;Przecier pomidorowy Trad Smak 200g - Netto;101;4;19;0
5554;Sajgonki warzywne - Asia Cook;206;4.6;21;11
5555;Mieso mielone wolowo-wieprzowe - Lidl;288;15;1;25
5556;Musztarda slodka - Bergebys;252;4.5;49;4.5
5557;Platki Miami Hopki czekoladowe - Biedronka;353;8.5;71;2.5
5558;Rafaello dietetyczne z kaszy jaglanej;154;3;27;3.9
5559;Kurczak KFC;275;13.5;16.6;17
5560;Makaron Tortellini (ugotowany);155;4.4;26.5;3.6
5561;Jogurt Jogobella gruszka - Zott;98;3.5;15.3;2.5
5562;Jogurt Fantasia z platkami w czekoladzie - Danone;151;3.2;16.3;8.2
5563;Ciasteczka korzenne;464;5;69;19
5564;Serek Danio Intenso Wanilia Premium;121;5.2;16.7;3.7
5565;Polbagietka Fitness;308;10;54;7.7
5566;Chleb wiejski ciemny bezglutenowy;221;4.7;44;2.9
5567;Ryba z pieca z sosem bordelaise - Frosta;174;9.6;9.6;11.3
5568;Ciasteczka lakotki deserowe z cukrem;505;7.4;69;21
5569;Ciasto Jezyk;479;5.3;64;21
5570;Maka z amarantusa;386;15;57.5;7.5
5571;Platki pszenne pelnoziarniste z owocami;360;9.1;71.1;4.3
5572;Mieszanka keksowa;305;1.2;71.8;0.4
5573;Wafelek Prince Polo orzechowy;525;6.5;59.5;28.5
5574;Pieczywo chrupkie zyto - Granex;330;7.8;65.5;2.2
5575;Sardynki bez skory w oliwie;172;27.7;0;6.6
5576;Ciasto francuskie z LIDLA;372;5.7;35;23
5577;Ryz Basmati (nieugotowany) - Auchan;352;8;77;1
5578;Duszone zeberka wieprzowe z dodatkiem tluszczuzoneWieprzowina z tluszcz);397;29.1;0;30.3
5579;Sok winogronowy;60;0.4;14.8;0.1
5580;Rosol (wywar) rybny;16;2;0.4;0.6
5581;Tarta z porami i serem lazur;192;5.9;14.2;12.6
5582;Kotlet cielecy (w panierce smazony);316;14.8;12;23.8
5583;Piwo imbirowe;43;0;11;0
5584;Serek wloski - Pilos;174;11;3.7;13
5585;Jogurt Activia musli - Danone;100;4;14;3
5586;Salatka warzywna z szynka;155;4.1;11;10
5587;Potrawka z indyka;90;9.5;4.1;3.5
5588;Chleb Dobry pelnoziarnisty - Schulstad;239;6.1;41.6;5
5589;Kefir suszona sliwka;67;3;10.7;1.3
5590;Baton Go ON! orzechowy;453;18.6;39.6;22.9
5591;Czekolada Lu - Milka;515;6.3;62.5;26
5592;Wolowina po chinsku;91;6.5;4.8;4.7
5593;Kaczka gotowana (bez skory);201;23.5;0;11.2
5594;Zupa krem z groszku zielonego;48;2;5;2
5595;Bigos Smaczek;79;2.6;4.3;5.1
5596;Pasztet z drobiu - Drop;220;7.5;5.5;16.3
5597;Pralinka Lindor 60 % kakao - Lindt;583;8.3;41.6;42
5598;Karp swiezy;127;17.8;1.1;5.6
5599;Hummus z burakiem;264;7.4;13.2;19.6
5600;Lody smietankowe Toffi - Symfonia;188;3;24;9
5601;Jogurt naturalny balkanski lekki - Maluta;74;4.1;5.2;3
5602;Parowki - Pikok;276;14;1.2;24
5603;Kawa Inka z mlekiem 0.5 %;442;3.7;77;13
5604;Pizza salami - Deka;245;8.9;23;13
5605;Rolmopsy - Lisner;113;9.6;2.2;7.1
5606;Groszek ptysiowy Brzesc;503;15;45;27
5607;Migdaly w czekoladzie;591;14;24.5;46.5
5608;Surowka z kapusty pekinskiej Kimchi;40;1.4;7;0.4
5609;Warzywa na patelnie po chinsku - Chira;28;1.5;3.4;0.5
5610;Klops z indyka (gotowany);87;18.5;1.5;0.7
5611;Zupa krem pomidorowy z pomidorem malinowym - Biedronka;26;0.9;4;0.4
5612;Kasza Jaglanka pieczone jablko.miod cynamon - Dobra Kaloria;364;8.6;76;1.8
5613;Chleb Dobrodziej jaglany z ziarnami chia - Grzybki;251;9.8;37.9;4.1
5614;Pomidory krojone z oliwa z oliwek i czosnkiem - Pudliszki;48;1.3;5.9;1.9
5615;Kawa Nescafe Latte Cappuccino Shakissimo - Nestle;91;4;12;3
5616;Warzywa na patelnie po wlosku - Chira;41;2.1;5.5;0.5
5617;Hamburger wolowy na grilla;208;18.1;0;15.1
5618;Baton Ba! Morela - Bakalland;395;4.3;72;9.3
5619;tarta z owocami i budyniem;259;3.8;25.5;15
5620;Mieszanka wiosenna Mrozna Kraina;58;2.8;8.9;0.5
5621;Surowka zydowska z ogorkiem kwaszonym - Grzeskowiak;59;1;10;2
5622;Kielbasa z ogniska;188;15.4;0;14.1
5623;Serek Twoj Smak z jogurtem - Piatnica;158;9;3.4;12
5624;Dzem truskawka - Hero;240;0;60;0
5625;Twarog Wiejski lekki 3% - Piatnica;81;11;2.4;3
5626;Ser Camembert z ziolami - Paturages;288;18;0.5;24
5627;Zupa krem z brokulow z nuta czosnku;18;1.4;2.1;0.2
5628;Cukierek wisnia w czekoladzie;451;2.9;69;18.2
5629;Ryz dlugoziarnisty bialy - Tira Dell;349;6.7;78.9;0.7
5630;Chleb lniany pszenny;222;5.7;40;4.3
5631;Rodzynki Jumbo - Lidl;331;2.7;71.9;1.6
5632;Lody swiderki;168;2.2;24.1;7
5633;Pieczywo chrupkie wieloziarniste whole grain - Finn Crisp;370;12;56;6.4
5634;Ser Mozzarella Zottarella classic - Zott;248;17.5;1.5;19
5635;Wellness;370;41;32;8
5636;Lody swiderek waniliowe w polewie tropikalnej;168;2.2;24.1;7
5637;Kropelki czekoladowe do zapiekania;503;6.5;54;27.1
5638;Boczek parzony plastry - Biedronka;303;17;0.5;26
5639;Jogobella breakfast choco chrunchy blueberry - Zott;128;4;18.3;4
5640;Kaszka owocowa - Smakija;124;2.9;17.2;4.8
5641;Salatka Coleslaw - KFC;104;1.2;8.5;7.3
5642;Paprykarz wegetarianski - Primavika;230;3.5;14;18
5643;Chleb zytni ze slonecznikiem - Andrzej Podplonski;257;6.4;43.4;5.6
5644;Krewetki Vannamei Biale;71;16;0;0.8
5645;Baton Pierrot;543;11.1;47.8;34.2
5646;Jogurt 7 zboz musli daktyle i suszona sliwka - Bakoma;101;3.8;15.7;2.6
5647;Chleb Balanza - Uldo;242;14.4;27.9;8.1
5648;Chleb na miodzie ze sliwkami;233;5.4;48.4;1.7
5649;Chleb razowy owsiany;210;6.1;40.6;2.6
5650;Ciastka francuskie z nadzieniem truskawkowym;311;3.6;39.6;15.4
5651;Lody Big Milk Vanilla w wafelku;210;3.5;31;8
5652;Dzem z truskawek slodzony fruktoza;122;0.3;30;0.2
5653;Platki Mlekolaki kolka miodowe - Lubella;395;9.9;76;4.5
5654;Ciasteczka zbozowe naturalne (Kupiec);461;9.1;61;18.3
5655;Salatka naddunajska - Urbanek;46;0.7;6.7;1.2
5656;Sok jablko liczi limetka;37;0.1;9;0.1
5657;Ciastka lakotki o smaku kakaowym;490;7.6;66;21
5658;Lody waniliowo-czekoladowe Diuna;161;3;23;6
5659;Ciasto kokosowe;292;3.7;25.9;19.1
5660;Lody McFlurry KitKat z polewa karmelowa;227;3.5;39.4;6.3
5661;Poledwiczki z kurczaka - Danie Express - Biedronka;175;18.5;7.8;7.7
5662;Jogurt kremowy kawowy - Bon Creme;125;2.7;14.9;6.1
5663;Wafle kakaowe;496;10;48;30
5664;Galaretka;296;5.5;68.5;0
5665;Spaghetti pelnoziarniste z miesem i sosem pomidorowym;150;7.6;16;6.3
5666;Zupa krem z jarzyn;53;3;7.7;1.3
5667;Kawa zbozowa Caro - Nestle;32;0.8;6;0.5
5668;Parowki drobiowe - Biedronka;232;12.2;2.4;18.8
5669;Tunczyk w oleju slonecznikowym - California Garden;195;23.9;0.7;11
5670;Bialko Karmel;382;78;5;6
5671;Czekolada gorzka 70% Orange - Wawel;515;7.5;37;35
5672;Sos bialy do kurczaka - domowy;166;4;8;13
5673;Ciastka Domowe kruche w czekoladzie;473;6;63;21
5674;Platki owsiane gorskie - Stoislaw;376;11.9;62.4;7.2
5675;Sok jablko-marchew-brzoskwinia Kubus;46;0.4;10.6;0.2
5676;Mleko roslinne kokosowe;46;0.1;2.5;3.9
5677;Bulka Proziak (bieszczadzka bulka na sodzie);130;3.9;26.5;0.7
5678;Chleb Ziarno bez dodatku drozdzy - Biedronka;237;11.5;18.2;11.4
5679;Musli tropikalne - Sante;379;7.7;69;6.4
5680;Ogorki konserwowe z chilli;56;1.9;9.5;0.4
5681;Serek smietankowy Twoj Smak Light - Piatnica;158;9;3.4;12
5682;Twarozek bydgoski grani - Osowa;115;11;2;7
5683;Ser bialy Capreggio Sottile Gusto biedronka;174;11;3;13
5684;Chipsy z pieca - Lay's;422;5.2;74;11
5685;Mieszanka studencka - Rossman;471;12;44;27
5686;Orzeszki w chrupiacej skorupce papryka - Max Snack;591;26;16;46
5687;Zupa krem paprykowo-pomidorowa;40;1.6;6;0.3
5688;Podravka Pasta warzywna z pomidorami i cukinia;140;4.3;5;10
5689;Pasztet pieczony Naturrino - Sokolow;235;16;5;17
